landmark,num_queries,P@20,P@40,P@60
fhy,15,0.91,0.8683333333333334,0.8388888888888889
jx,7,0.7,0.5714285714285714,0.4952380952380952
kx,2,0.15000000000000002,0.07500000000000001,0.058333333333333334
mh,14,0.8428571428571427,0.8053571428571429,0.7726190476190476
nm,15,0.8866666666666666,0.85,0.8166666666666665
sjz,15,0.9299999999999999,0.92,0.9044444444444444
sy,15,0.7533333333333333,0.7216666666666666,0.6655555555555555
tsg,15,0.8533333333333333,0.795,0.7566666666666665
ty,14,0.9071428571428571,0.8625,0.8297619047619048
yf,7,0.6071428571428571,0.48214285714285715,0.4238095238095238
yk,2,0.475,0.3375,0.26666666666666666
zx,14,0.8928571428571429,0.8732142857142857,0.8380952380952381
